table	lua_name	cpp_symbol	cpp_class	family	shape	nresults	impl_va	thunk_va	stub_va	vtable_va	s_name_slot	stanza_va
Vehicle	GetSeatActor	VehicleGetSeatActor		LuaGlueFunctor0R	jmp	eax	0075e320	00764a70	007650a0	00fe8e18	0142e50c	00761065
Vehicle	GetSmokeThreshold	GetSmokeThreshold		LuaGlueFunctor0R	jmp	eax	0075e4c0	00764a90	007650c0	00fe8e30	0142e518	00761161
Vehicle	GetSpeed	VehicleGetSpeed		LuaGlueFunctor0R	jmp	eax	0075da10	00764a10	00765040	00fe8dd8	0142e4ec	00760dc5
Vehicle	HardSetLinVel	HardSetLinVel		LuaGlueFunctor0	adapter	1	00760510	00764f00	00765320	00fe8fe8	0142e5f4	007623c1
Vehicle	IsNaziVehicle	VehicleIsNaziVehicle		LuaGlueFunctor0R	jmp	eax	00763c20	00765660	007657a0	00fe8e28	0142e514	0076110d
Vehicle	IsTrafficEnabled	IsTrafficEnabled		LuaGlueFunctor0R	jmp	eax	0075ed10	00764c40	007651b0	00fe8eb8	0142e55c	007616f5
Vehicle	LockAllSeats	VehicleLockAllSeats		LuaGlueFunctor0	adapter	1	0075e750	00764ae0	00765100	00fe8e58	0142e52c	00761305
Vehicle	LockSeat	VehicleLockSeat		LuaGlueFunctor0	adapter	1	0075e620	00764ac0	007650f0	00fe8e50	0142e528	007612b1
Vehicle	MakeInvincible	MakeInvincible		LuaGlueFunctor0	adapter	1	00760310	00764fa0	00765370	00fe9018	0142e60c	007625b9
Vehicle	OverrideBraking	OverrideBraking		LuaGlueFunctor0	adapter	1	007607c0	00764f40	00765340	00fe8ff8	0142e5fc	00762469
Vehicle	OverrideHorsepower	OverrideHorsepower		LuaGlueFunctor0	adapter	1	0075f9c0	00764b80	00765150	00fe8e80	0142e540	007614a9
Vehicle	OverrideMaxSpeed	OverrideMaxSpeed		LuaGlueFunctor0	adapter	1	0075f8e0	00764b60	00765140	00fe8e78	0142e53c	00761455
Vehicle	RegisterWaterCallback	RegisterWaterCallback		LuaGlueFunctor0	adapter	1	007639d0	007656d0	007657e0	00fe8fc0	0142e5e0	0076221d
Vehicle	RegisterWaterLoggedCallback	RegisterWaterLoggedCallback		LuaGlueFunctor0	adapter	1	00763af0	007656f0	007657f0	00fe8fc8	0142e5e4	00762271
Vehicle	RemoveFromTraffic	VehicleRemoveFromTraffic		LuaGlueFunctor0	adapter	1	0075eb20	00764be0	00765180	00fe8ea0	0142e550	007615f9
Vehicle	RemoveRacer	RemoveRacer		LuaGlueFunctor0	adapter	1	0075f5e0	00764d50	00765240	00fe8f10	0142e588	00761a91
Vehicle	SetAsMissionCritical	SetAsMissionCritical		LuaGlueFunctor0	adapter	1	00763d00	00765810	00765830	00fe9040	0142e620	0076275d
Vehicle	SetCanJoinEscalation	SetCanJoinEscalation		LuaGlueFunctor0	adapter	1	00760af0	00764ee0	00765310	00fe8fe0	0142e5f0	0076236d
Vehicle	SetCrashThrough	VehicleSetCrashThrough		LuaGlueFunctor0	adapter	1	0075edf0	00764c70	007651d0	00fe8ec8	0142e564	0076179d
Vehicle	SetDeathCallback	SetDeathCallback		LuaGlueFunctor0	adapter	1	00762da0	007654f0	00765640	00fe8fd0	0142e5e8	007622c5
Vehicle	SetForceAIController	SetForceAIController		LuaGlueFunctor0	adapter	1	0075f840	00764b40	00765130	00fe8e70	0142e538	00761401
Vehicle	SetForceNeverFlip	VehicleSetForceNeverFlip		LuaGlueFunctor0	adapter	1	0075f0e0	00764cd0	00765200	00fe8ee8	0142e574	007618ed
Vehicle	SetForceSelfRight	VehicleSetForceSelfRight		LuaGlueFunctor0	adapter	1	0075efe0	00764cb0	007651f0	00fe8ee0	0142e570	00761899
Vehicle	SetFullWheelRayScheduling	SetFullWheelRayScheduling		LuaGlueFunctor0	adapter	1	007603c0	00764fc0	00765380	00fe9020	0142e610	0076260d
Vehicle	SetMagicRacer	SetMagicRacer		LuaGlueFunctor0	adapter	1	0075fb80	00764ba0	00765160	00fe8e88	0142e544	007614fd
Vehicle	SetPinned	SetPinned		LuaGlueFunctor0	adapter	1	0075fad0	00765000	007653a0	00fe9038	0142e61c	00762709
Vehicle	SetPlayerLappedCallback	SetPlayerLappedCallback		LuaGlueFunctor0	adapter	1	00762c90	007654b0	00765620	00fe8f80	0142e5c0	00761f29
Vehicle	SetPlayerSpeedCallback	SetPlayerSpeedCallback		LuaGlueFunctor0	adapter	1	00762d00	007654d0	00765630	00fe8f88	0142e5c4	00761f7d
Vehicle	SetRaceCheckPointCallback	SetRaceCheckPointCallback		LuaGlueFunctor0	adapter	1	00762b10	00765450	007655f0	00fe8f68	0142e5b4	00761e2d
Vehicle	SetRaceCollisionMultiplier	SetRaceCollisionMultiplier		LuaGlueFunctor0	adapter	1	00760690	00764f60	00765350	00fe9000	0142e600	007624bd
Vehicle	SetRaceFinishedCallback	SetRaceFinishedCallback		LuaGlueFunctor0	adapter	1	007629c0	007653f0	007655c0	00fe8f50	0142e5a8	00761d31
Vehicle	SetRaceLoadedCallback	SetRaceLoadedCallback		LuaGlueFunctor0	adapter	1	007628e0	007653b0	007655a0	00fe8f40	0142e5a0	00761c89
Vehicle	SetRaceOffTrackCallback	SetRaceOffTrackCallback		LuaGlueFunctor0	adapter	1	00762aa0	00765430	007655e0	00fe8f60	0142e5b0	00761dd9
Vehicle	SetRacePlaceChangeCallback	SetRacePlaceChangeCallback		LuaGlueFunctor0	adapter	1	00762c20	00765490	00765610	00fe8f78	0142e5bc	00761ed5
